"","CL_prox_m","DATE","Month","Day","Year","TagSite","Species","TL","RewardTag1","RewardTag2","Radio_Tag_","Code","Combined","Group_","Notes","Lat","Long","A_D","Ramp","Notes1","DaysPostRe","DistFromRa","geometry"
"103",476.569415492581,2023-05-09,5,9,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00677,-86.00029,"A","CL",NA,NA,473.832298,c(-86.0002899999999, 34.0067700000001)
"104",439.97791295942,2023-05-25,5,25,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00717,-86.0002,"A","CL",NA,NA,435.395918,c(-86.0001999999999, 34.00717)
"105",718.897502416913,2023-06-06,6,6,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00473,-86.00079,"A","CL",NA,NA,689.019173,c(-86.0007899999999, 34.0047300000001)
"106",158.66556498206,2023-06-21,6,21,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.01098,-85.99826,"A","CL",NA,NA,146.139841,c(-85.99826, 34.0109800000001)
"107",1707.3531288627,2023-07-07,7,7,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",33.99562,-85.99997,"A","CL",NA,NA,1655.313142,c(-85.99997, 33.99562)
"108",909.501232032161,2023-07-18,7,18,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00264,-85.99958,"A","CL",NA,NA,874.458727,c(-85.99958, 34.00264)
"109",2386.88052809046,2023-08-04,8,4,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",33.98996,-85.9985,"A","CL",NA,NA,2297.734738,c(-85.9985, 33.9899600000001)
"110",2450.40029056679,2023-08-27,8,27,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",33.98951,-85.99807,"A","CL",NA,NA,2358.780352,c(-85.99807, 33.9895100000001)
"111",2403.2904514533,2023-09-11,9,11,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",33.98981,-85.99855,"A","CL",NA,NA,2312.511495,c(-85.99855, 33.98981)
"112",2454.34748757765,2023-09-25,9,25,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U",NA,33.98941,-85.99835,"A","CL",NA,NA,0,c(-85.99835, 33.9894100000001)
"113",2466.74452969068,2023-10-09,10,9,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U",NA,33.98924,-85.99852,"A","CL",NA,NA,0,c(-85.99852, 33.9892400000001)
"114",2398.85356336903,2023-10-23,10,23,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U",NA,33.98982,-85.99854,"A","CL",NA,NA,0,c(-85.9985399999999, 33.9898200000001)
"115",2393.07905391457,2023-11-03,11,3,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U",NA,33.98989,-85.9986,"A","CL",NA,NA,0,c(-85.9986, 33.9898900000001)
